MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	104.05566	s	7/24/2025 9:38:15 AM
AXIAL Displacement	AXIAL Force	Time	Date
mm	N	s	d
0.0028982759	-99.304604	2.1533203	45862
-0.0074543059	-223.72603	2.2529297	45862
0.0058077276	-86.280045	2.3525391	45862
-0.002540648	-82.29306	2.4521484	45862
-0.0053681433	-174.17036	2.5517578	45862
-0.0078193843	74.742821	2.6513672	45862
0.0056177378	-121.72619	2.7509766	45862
-0.0015459955	-100.10414	2.8505859	45862
-0.0053979456	68.151863	2.9501953	45862
0.011868775	-111.86208	3.0498047	45862
0.0078566372	148.2605	3.1494141	45862
0.01456216	-83.748253	3.2490234	45862
0.016957521	37.740917	3.3486328	45862
0.012375414	15.694648	3.4482422	45862
0.003952533	113.33591	3.5478516	45862
0.013519078	58.466568	3.6474609	45862
0.0017434359	196.43037	3.7470703	45862
0.0029355288	162.88551	3.8466797	45862
-0.00065937638	222.92323	3.9462891	45862
0.0076927245	276.21909	4.0458984	45862
0.0019781291	275.83911	4.1455078	45862
0.015567988	281.21472	4.2451172	45862
0.010829419	347.31302	4.3447266	45862
0.010635704	399.70874	4.4443359	45862
0.012706965	244.92526	4.5439453	45862
0.020310283	492.96301	4.6435547	45862
0.020362437	419.48633	4.7431641	45862
0.01559034	514.14038	4.8427734	45862
0.01848489	543.12775	4.9423828	45862
0.026419759	620.72559	5.0419922	45862
0.027902424	545.45654	5.1416016	45862
0.028222799	675.13202	5.2412109	45862
0.026393682	778.47626	5.3408203	45862
0.016607344	701.70313	5.4404297	45862
0.033728778	797.78766	5.5400391	45862
0.032756478	853.56598	5.6396484	45862
0.027067959	922.25708	5.7392578	45862
0.034797937	881.51312	5.8388672	45862
0.030860305	1001.996	5.9384766	45862
0.045474619	1008.2302	6.0380859	45862
0.035826117	916.87262	6.1376953	45862
0.046640635	1047.2955	6.2373047	45862
0.0381805	1031.0734	6.3369141	45862
0.046368688	1079.2394	6.4365234	45862
0.053800642	1087.2875	6.5361328	45862
0.06224215	1107.9224	6.6357422	45862
0.060435385	1094.8406	6.7353516	45862
0.050760806	1103.3956	6.8349609	45862
0.047598034	1100.9099	6.9345703	45862
0.061500818	1063.2401	7.0341797	45862
0.065874308	1132.5027	7.1337891	45862
0.073850155	1121.1633	7.2333984	45862
0.064857304	1086.1149	7.3330078	45862
0.062879175	1049.884	7.4326172	45862
0.061556697	1126.9775	7.5322266	45862
0.065602362	1131.0634	7.6318359	45862
0.07693097	1074.0022	7.7314453	45862
0.08520484	1145.8002	7.8310547	45862
0.099029392	1137.2729	7.9306641	45862
0.085864216	1088.3687	8.0302734	45862
0.084578991	1155.3848	8.1298828	45862
0.068299472	1145.6455	8.2294922	45862
0.10403246	1152.9988	8.3291016	45862
0.097308308	1132.3397	8.4287109	45862
0.097841024	1185.7328	8.5283203	45862
0.094711781	1131.8163	8.6279297	45862
0.10450929	1105.4561	8.7275391	45862
