MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	104.04883	s	7/22/2025 2:43:54 PM
AXIAL Displacement	AXIAL Force	Time	Date
mm	N	s	d
-0.0014454126	-134.99844	2.1464844	45860
-0.001039356	-24.493929	2.2460938	45860
-0.0040158629	-133.61978	2.3457031	45860
0.0033639371	13.044744	2.4453125	45860
0.0026077032	-7.9674358	2.5449219	45860
-0.0064484775	-46.538334	2.6445313	45860
-0.0059269369	120.84478	2.7441406	45860
0.0053830445	-29.841873	2.84375	45860
-0.00087544322	104.86329	2.9433594	45860
0.0013932586	57.623837	3.0429688	45860
-0.0018998981	-40.414715	3.1425781	45860
0.0016056001	20.722305	3.2421875	45860
-0.0014640391	143.76385	3.3417969	45860
0.018481165	221.76163	3.4414063	45860
-0.0053308904	134.36542	3.5410156	45860
0.0023655593	299.6398	3.640625	45860
0.0088661909	207.35558	3.7402344	45860
0.0010728836	300.28714	3.8398438	45860
0.019319355	350.15494	3.9394531	45860
0.0025294721	290.51361	4.0390625	45860
0.012181699	412.22736	4.1386719	45860
0.01706928	353.52942	4.2382813	45860
0.016383827	595.69647	4.3378906	45860
0.016342849	703.5	4.4375	45860
0.014252961	710.61401	4.5371094	45860
0.018678606	667.64288	4.6367188	45860
0.015728176	715.23718	4.7363281	45860
0.0095330179	794.44153	4.8359375	45860
0.015415251	889.19757	4.9355469	45860
0.026870519	991.07703	5.0351563	45860
0.035852194	1190.7043	5.1347656	45860
0.027120113	1071.324	5.234375	45860
0.024840236	1115.71	5.3339844	45860
0.03034994	1275.7355	5.4335938	45860
0.031143427	1244.6633	5.5332031	45860
0.032305717	1173.6775	5.6328125	45860
0.03574416	1536.4758	5.7324219	45860
0.03163144	1449.5613	5.8320313	45860
0.037167221	1600.4335	5.9316406	45860
0.03888458	1711.6498	6.03125	45860
0.041309744	1703.9424	6.1308594	45860
0.047199428	1736.0415	6.2304688	45860
0.035408884	1799.3497	6.3300781	45860
0.049766153	1883.6307	6.4296875	45860
0.050503761	2093.8914	6.5292969	45860
0.051006675	1895.4534	6.6289063	45860
0.051058829	2110.1121	6.7285156	45860
0.060487539	2317.1763	6.828125	45860
0.055614859	2214.1299	6.9277344	45860
0.058826059	2267.1628	7.0273438	45860
0.061552972	2548.2305	7.1269531	45860
0.062886626	2592.8975	7.2265625	45860
0.075820833	2626.1973	7.3261719	45860
0.064905733	2547.5938	7.4257813	45860
0.078234822	2601.7822	7.5253906	45860
0.077225268	2896.1309	7.625	45860
0.085450709	2821.3328	7.7246094	45860
0.069912523	2960.5439	7.8242188	45860
0.086426735	3049.553	7.9238281	45860
0.084459782	3174.8284	8.0234375	45860
0.089250505	3209.5737	8.1230469	45860
0.094402581	3286.2183	8.2226563	45860
0.083975494	3335.1028	8.3222656	45860
0.092372298	3522.4856	8.421875	45860
0.092357397	3388.8701	8.5214844	45860
0.098656863	3580.4026	8.6210938	45860
0.1039207	3608.6355	8.7207031	45860
0.10481104	3858.604	8.8203125	45860
0.11185557	3951.3931	8.9199219	45860
0.098124146	3951.7776	9.0195313	45860
0.12274086	4020.8386	9.1191406	45860
0.11361018	3956.3726	9.21875	45860
0.1177229	4216.5469	9.3183594	45860
0.11512637	4320.3975	9.4179688	45860
0.11573359	4245.2515	9.5175781	45860
0.10651723	4255.9624	9.6171875	45860
0.12408569	4551.457	9.7167969	45860
0.13134629	4477.4067	9.8164063	45860
0.14405698	4695.4082	9.9160156	45860
0.14144182	4751.917	10.015625	45860
0.12378767	4813.0024	10.115234	45860
0.13409927	4976.6538	10.214844	45860
0.15157461	4926.374	10.314453	45860
0.13655052	4896.1143	10.414063	45860
0.1568608	5323.3906	10.513672	45860
0.16531348	5023.8848	10.613281	45860
0.13529882	5177.271	10.712891	45860
0.15762076	5338.6602	10.8125	45860
0.13989583	5481.4941	10.912109	45860
0.1636222	5348.6899	11.011719	45860
0.16596168	5482.6382	11.111328	45860
0.16418099	5620.2427	11.210938	45860
0.17769262	5714.5391	11.310547	45860
0.16375631	5786.2764	11.410156	45860
0.17002597	5821.1074	11.509766	45860
0.17571822	5826.5605	11.609375	45860
0.18154457	6021.1191	11.708984	45860
0.18223748	5890.7578	11.808594	45860
0.18585101	6067.0093	11.908203	45860
0.1966022	6200.9961	12.007813	45860
0.1844354	5964.231	12.107422	45860
0.17795712	6087.1631	12.207031	45860
0.18700957	6343.1938	12.306641	45860
0.20590797	6240.2993	12.40625	45860
0.20118058	6320.9463	12.505859	45860
0.20326301	6334.397	12.605469	45860
0.20366535	6392.9814	12.705078	45860
0.19941479	6555.6924	12.804688	45860
0.20802394	6549.5034	12.904297	45860
0.21383911	6354.7627	13.003906	45860
0.20879507	6470.564	13.103516	45860
0.217475	6603.833	13.203125	45860
0.20236894	6565.8481	13.302734	45860
0.22150949	6725.2983	13.402344	45860
0.22247806	6664.5259	13.501953	45860
0.2140142	6752.4155	13.601563	45860
0.2220273	6873.9004	13.701172	45860
0.22206083	6655.7671	13.800781	45860
0.22575632	6832.5835	13.900391	45860
0.2270788	6924.4844	14	45860
0.21559	6878.4531	14.099609	45860
0.2341643	6900.0786	14.199219	45860
0.22730604	6903.647	14.298828	45860
0.23043901	6875	14.398438	45860
0.23861602	7068.5742	14.498047	45860
0.22722036	7003.5488	14.597656	45860
0.2313517	6926.8413	14.697266	45860
0.24443865	7081.001	14.796875	45860
0.23664162	7031.1484	14.896484	45860
0.23885071	7022.6641	14.996094	45860
0.23170933	6930.4819	15.095703	45860
0.23940951	7172.1318	15.195313	45860
0.24698675	7114.9131	15.294922	45860
0.23393705	6876.8325	15.394531	45860
0.24921075	7204.0396	15.494141	45860
0.23918226	7097.9858	15.59375	45860
0.24887547	7098.6729	15.693359	45860
