MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	104.04492	s	7/23/2025 9:43:55 AM
AXIAL Displacement	AXIAL Force	Time	Date
mm	N	s	d
0.0031553209	83.227173	2.1425781	45861
0.0023841858	98.539513	2.2421875	45861
0.0052973628	117.82814	2.3417969	45861
0.001359731	52.04184	2.4414063	45861
-0.0056438148	20.681416	2.5410156	45861
-0.011321157	27.000439	2.640625	45861
-0.0039190054	39.358624	2.7402344	45861
-0.0033974648	76.361931	2.8398438	45861
0.012479722	68.372574	2.9394531	45861
0.0086389482	42.228958	3.0390625	45861
0.0054202974	63.686161	3.1386719	45861
0.00282377	35.251026	3.2382813	45861
0.01065433	58.45586	3.3378906	45861
0.00018998981	134.0271	3.4375	45861
0.02104044	101.9435	3.5371094	45861
0.0033639371	56.273304	3.6367188	45861
0.013008714	122.61886	3.7363281	45861
0.012002885	137.55122	3.8359375	45861
0.0066421926	106.27602	3.9355469	45861
0.0018775463	72.402878	4.0351563	45861
0.010613352	-3.9627776	4.1347656	45861
0.016886741	62.493141	4.234375	45861
0.01129508	165.57611	4.3339844	45861
0.017378479	108.66858	4.4335938	45861
0.020507723	171.27115	4.5332031	45861
0.011671335	152.98091	4.6328125	45861
0.017743558	180.92337	4.7324219	45861
0.018373132	124.70549	4.8320313	45861
0.018335879	188.45453	4.9316406	45861
0.024478883	178.94524	5.03125	45861
0.025078654	167.22176	5.1308594	45861
0.030882657	173.50447	5.2304688	45861
0.033263117	243.04167	5.3300781	45861
0.015377998	245.46729	5.4296875	45861
0.021699816	252.16815	5.5292969	45861
0.028241426	286.60101	5.6289063	45861
0.042013824	408.69696	5.7285156	45861
0.037930906	400.4198	5.828125	45861
0.030282885	308.12946	5.9277344	45861
0.034619123	512.83136	6.0273438	45861
0.039611012	481.99295	6.1269531	45861
0.05434081	486.69147	6.2265625	45861
0.048372895	534.18805	6.3261719	45861
0.054147094	618.95837	6.4257813	45861
0.059708953	617.52271	6.5253906	45861
0.056844205	591.03125	6.625	45861
0.050008297	671.28802	6.7246094	45861
0.052791089	753.4502	6.8242188	45861
0.064205378	787.49792	6.9238281	45861
0.060368329	765.01306	7.0234375	45861
0.068865716	885.46289	7.1230469	45861
0.053942204	798.18817	7.2226563	45861
0.062417239	899.59009	7.3222656	45861
0.059373677	894.27734	7.421875	45861
0.071592629	1010.7294	7.5214844	45861
0.077240169	1015.0898	7.6210938	45861
0.06628409	1091.125	7.7207031	45861
0.082071871	1039.9264	7.8203125	45861
0.087492168	1217.5292	7.9199219	45861
0.090800226	1159.2032	8.0195313	45861
0.091623515	1214.1429	8.1191406	45861
0.098075718	1336.9431	8.21875	45861
0.088561326	1371.8486	8.3183594	45861
0.0898242	1247.3513	8.4179688	45861
0.099241734	1478.5339	8.5175781	45861
0.10706857	1512.374	8.6171875	45861
0.095464289	1411.3197	8.7167969	45861
0.097543001	1615.7327	8.8164063	45861
0.09746477	1474.5676	8.9160156	45861
0.11362508	1663.2219	9.015625	45861
0.12412295	1585.5206	9.1152344	45861
0.11266395	1662.1729	9.2148438	45861
0.12597442	1677.5813	9.3144531	45861
0.12824684	1744.1914	9.4140625	45861
0.12378767	1800.967	9.5136719	45861
0.12669712	1762.6632	9.6132813	45861
0.1167953	1785.656	9.7128906	45861
0.12819842	1835.4889	9.8125	45861
0.12400001	1866.9122	9.9121094	45861
0.14706701	1912.9352	10.011719	45861
0.13124198	1979.5978	10.111328	45861
0.14103204	2059.3772	10.210938	45861
0.14961883	1995.5374	10.310547	45861
0.14933944	1926.2396	10.410156	45861
0.14225394	1877.9298	10.509766	45861
0.14647469	2006.7306	10.609375	45861
0.15947595	1987.2561	10.708984	45861
0.15025213	2039.5887	10.808594	45861
0.15052408	2185.5923	10.908203	45861
0.1578927	2175.7163	11.007813	45861
0.15846267	2012.4554	11.107422	45861
0.16311184	2087.6863	11.207031	45861
0.16557798	2205.0999	11.306641	45861
0.15890598	2329.9094	11.40625	45861
0.16899779	2222.4563	11.505859	45861
0.17877296	2124.0432	11.605469	45861
0.17405674	2319.5771	11.705078	45861
0.18258393	2256.2017	11.804688	45861
0.17415732	2341.9678	11.904297	45861
0.18910691	2451.0203	12.003906	45861
0.18716604	2356.8845	12.103516	45861
0.18816441	2421.0327	12.203125	45861
0.2044104	2342.9824	12.302734	45861
0.18813834	2434.8311	12.402344	45861
0.1831539	2436.9023	12.501953	45861
0.21544099	2409.7964	12.601563	45861
0.20371377	2501.5859	12.701172	45861
0.20304695	2531.5115	12.800781	45861
0.20671263	2537.8477	12.900391	45861
0.2005659	2556.3618	13	45861
0.19957125	2567.0413	13.099609	45861
0.21182001	2507.3794	13.199219	45861
0.2191551	2504.8584	13.298828	45861
0.21602958	2674.3848	13.398438	45861
0.2165623	2722.1353	13.498047	45861
0.20249188	2576.157	13.597656	45861
0.21704659	2651.4182	13.697266	45861
0.22475049	2707.6631	13.796875	45861
0.2230145	2598.9121	13.896484	45861
0.22575259	2689.7588	13.996094	45861
0.2184175	2724.4832	14.095703	45861
0.21830201	2724.4629	14.195313	45861
0.24262071	2788.1238	14.294922	45861
0.23240596	2764.0801	14.394531	45861
0.23603812	2762.0027	14.494141	45861
0.24526566	2911.3196	14.59375	45861
0.22586435	2774.1531	14.693359	45861
0.22493303	2779.1172	14.792969	45861
0.24081394	2820.8389	14.892578	45861
0.23895502	2871.3052	14.992188	45861
0.23037568	2966.6421	15.091797	45861
0.24272874	2848.8923	15.191406	45861
0.24659187	2773.1636	15.291016	45861
0.24658069	2792.4536	15.390625	45861
0.24722144	2972.2805	15.490234	45861
0.24842098	2953.2517	15.589844	45861
0.23222342	2895.9255	15.689453	45861
0.24627149	2769.8884	15.789063	45861
0.2521798	2878.9644	15.888672	45861
0.24662539	2978.7722	15.988281	45861
0.24659559	2942.1814	16.087891	45861
0.24133921	2849.7798	16.1875	45861
0.23809075	2858.5168	16.287109	45861
0.25245175	2768.3125	16.386719	45861
0.24426356	3018.4792	16.486328	45861
0.24770945	2898.3853	16.585938	45861
0.24896115	2982.2292	16.685547	45861
0.24600327	2957.25	16.785156	45861
0.25906414	2843.2148	16.884766	45861
0.24565682	2937.3904	16.984375	45861
0.24793297	3008.4761	17.083984	45861
0.25659055	2856.5178	17.183594	45861
0.24655461	2868.6877	17.283203	45861
0.2431795	2862.5154	17.382813	45861
0.25204942	2779.2908	17.482422	45861
0.2623871	2928.9734	17.582031	45861
0.24703518	2833.4688	17.681641	45861
0.24601445	2819.853	17.78125	45861
0.23982674	2792.7961	17.880859	45861
0.24373829	2777.77	17.980469	45861
0.25095046	2656.7852	18.080078	45861
0.24720654	2661.5898	18.179688	45861
0.25154278	2689.8066	18.279297	45861
0.24134666	2677.3325	18.378906	45861
0.23910031	2574.6843	18.478516	45861
0.2464503	2606.8877	18.578125	45861
0.23801997	2538.679	18.677734	45861
0.23732707	2522.0032	18.777344	45861
0.23398921	2494.4829	18.876953	45861
0.23327023	2387.4683	18.976563	45861
0.23427606	2290.6477	19.076172	45861
0.21948665	2204.6716	19.175781	45861
0.21976233	2189.4116	19.275391	45861
0.22695586	2095.8594	19.375	45861
0.23110956	2206.6521	19.474609	45861
0.22244453	2204.2153	19.574219	45861
0.21935254	1909.682	19.673828	45861
0.22204965	1940.9952	19.773438	45861
0.21990016	1857.9718	19.873047	45861
0.20951405	1629.4574	19.972656	45861
0.19687787	1763.7491	20.072266	45861
0.20446256	1446.7687	20.171875	45861
0.20119175	1578.8555	20.271484	45861
0.19049644	1341.0759	20.371094	45861
0.19519031	1226.6003	20.470703	45861
0.18578395	1334.524	20.570313	45861
0.18910691	1228.5909	20.669922	45861
0.19503385	968.10046	20.769531	45861
0.19045174	953.48059	20.869141	45861
0.16742572	849.30475	20.96875	45861
0.16633049	647.58954	21.068359	45861
0.1690127	719.73682	21.167969	45861
0.16106293	610.57648	21.267578	45861
0.16280264	514.03607	21.367188	45861
0.17087907	330.71869	21.466797	45861
0.13890862	344.21866	21.566406	45861
0.15350431	294.90656	21.666016	45861
0.14209747	90.480316	21.765625	45861
0.14071539	79.730064	21.865234	45861
0.13633072	-24.738256	21.964844	45861
0.13467669	-55.328941	22.064453	45861
0.13200194	-58.344566	22.164063	45861
0.1206696	-78.724236	22.263672	45861
0.12610108	-93.882439	22.363281	45861
0.11513382	-95.902473	22.462891	45861
0.1125522	-89.435371	22.5625	45861
0.10277703	-92.4645	22.662109	45861
0.1090616	-125.10037	22.761719	45861
0.091452152	-125.56277	22.861328	45861
0.097434968	-138.3163	22.960938	45861
0.084191561	-114.09726	23.060547	45861
0.090047717	-131.05991	23.160156	45861
0.082410872	-122.31478	23.259766	45861
0.058177859	-128.88341	23.359375	45861
0.073716044	-98.867805	23.458984	45861
0.054385513	-146.23254	23.558594	45861
0.058948994	-158.89015	23.658203	45861
0.057712197	-178.70309	23.757813	45861
0.05203113	-153.31245	23.857422	45861
0.029075891	-142.00247	23.957031	45861
0.032655895	-206.71404	24.056641	45861
0.026661903	-177.40669	24.15625	45861
0.027917325	-143.63602	24.255859	45861
0.015251338	-176.51543	24.355469	45861
0.010699034	-165.79079	24.455078	45861
0.0083968043	-168.98058	24.554688	45861
